id,GenePk,TxPk,TxSucPk,RxSucPk,RxSucIP_Pk,nCol,PrCol,drop,CWmin,CWmax
0,1,1,1,0,0,0,0.0,0,16,1024
1,1,2,1,0,0,1,0.5,0,16,1024
2,2,2,2,0,0,0,0.0,0,16,1024
3,1,2,1,0,0,1,0.5,0,16,1024
4,1,2,1,0,0,1,0.5,0,16,1024
5,3,2,2,0,0,0,0.0,0,16,1024
6,1,3,1,0,0,2,0.6666666666666666,0,16,1024
7,1,1,1,0,0,0,0.0,0,16,1024
8,2,3,2,0,0,1,0.3333333333333333,0,16,1024
9,2,3,2,0,0,1,0.3333333333333333,0,16,1024
10,0,0,0,14,14,0,0,0,16,1024
id,GenePk,TxPk,TxSucPk,RxSucPk,RxSucIP_Pk,nCol,PrCol,drop,CWmin,CWmax
0,2,3,1,0,0,2,0.6666666666666666,0,16,1024
1,1,3,1,0,0,2,0.6666666666666666,0,16,1024
2,1,3,1,0,0,2,0.6666666666666666,0,16,1024
3,1,2,1,0,0,1,0.5,0,16,1024
4,2,2,2,0,0,0,0.0,0,16,1024
5,2,2,2,0,0,0,0.0,0,16,1024
6,1,2,1,0,0,1,0.5,0,16,1024
7,1,1,1,0,0,0,0.0,0,16,1024
8,1,1,1,0,0,0,0.0,0,16,1024
9,1,3,1,0,0,2,0.6666666666666666,0,16,1024
10,0,0,0,12,12,0,0,0,16,1024
id,GenePk,TxPk,TxSucPk,RxSucPk,RxSucIP_Pk,nCol,PrCol,drop,CWmin,CWmax
0,1,2,1,0,0,1,0.5,0,16,1024
1,1,1,1,0,0,0,0.0,0,16,1024
2,1,2,1,0,0,1,0.5,0,16,1024
3,1,1,1,0,0,0,0.0,0,16,1024
4,2,2,2,0,0,0,0.0,0,16,1024
5,1,1,1,0,0,0,0.0,0,16,1024
6,2,2,2,0,0,0,0.0,0,16,1024
7,1,3,1,0,0,2,0.6666666666666666,0,16,1024
8,2,3,2,0,0,1,0.3333333333333333,0,16,1024
9,2,1,1,0,0,0,0.0,0,16,1024
10,0,0,0,13,13,0,0,0,16,1024
id,GenePk,TxPk,TxSucPk,RxSucPk,RxSucIP_Pk,nCol,PrCol,drop,CWmin,CWmax
0,1,2,1,0,0,1,0.5,0,16,1024
1,2,1,1,0,0,0,0.0,0,16,1024
2,1,3,1,0,0,2,0.6666666666666666,0,16,1024
3,1,1,1,0,0,0,0.0,0,16,1024
4,1,1,1,0,0,0,0.0,0,16,1024
5,1,1,1,0,0,0,0.0,0,16,1024
6,1,2,1,0,0,1,0.5,0,16,1024
7,1,1,1,0,0,0,0.0,0,16,1024
8,2,2,2,0,0,0,0.0,0,16,1024
9,1,1,1,0,0,0,0.0,0,16,1024
10,0,0,0,11,11,0,0,0,16,1024
id,GenePk,TxPk,TxSucPk,RxSucPk,RxSucIP_Pk,nCol,PrCol,drop,CWmin,CWmax
0,1,2,1,0,0,1,0.5,0,16,1024
1,2,2,2,0,0,0,0.0,0,16,1024
2,3,2,2,0,0,0,0.0,0,16,1024
3,1,3,1,0,0,2,0.6666666666666666,0,16,1024
4,1,2,1,0,0,1,0.5,0,16,1024
5,2,3,2,0,0,1,0.3333333333333333,0,16,1024
6,1,1,1,0,0,0,0.0,0,16,1024
7,1,2,1,0,0,1,0.5,0,16,1024
8,1,2,1,0,0,1,0.5,0,16,1024
9,1,2,1,0,0,1,0.5,0,16,1024
10,0,0,0,13,13,0,0,0,16,1024
