8,[10.672],[0.3507126294825923]
1,[12.8008],[0.0]
1,"[12.7952, 12.8016, 12.8, 12.7976, 12.7992, 12.7944, 12.8128, 12.8064, 12.7936, 12.8008, 12.8016, 12.8032, 12.8112, 12.7864, 12.8048, 12.8048, 12.7888, 12.8048, 12.7936, 12.7976, 12.7984, 12.8104, 12.8064, 12.7976, 12.7952, 12.8128, 12.8104, 12.8104, 12.796, 12.796, 12.8088, 12.8056, 12.8112, 12.7984, 12.7936, 12.8, 12.788, 12.7992, 12.7928, 12.8136, 12.784, 12.7888, 12.8048, 12.8064, 12.7952, 12.7992, 12.8048, 12.7888, 12.8008, 12.7904]",[0.0]
2,"[12.4936, 12.5256, 12.5416, 12.5544, 12.4968, 12.4504, 12.536, 12.4848, 12.552, 12.4792, 12.484, 12.4712, 12.5208, 12.484, 12.4704, 12.4872, 12.5216, 12.492, 12.4688, 12.4896, 12.5312, 12.4584, 12.4432, 12.4368, 12.5672, 12.524, 12.4728, 12.4744, 12.4976, 12.4896, 12.4816, 12.4848, 12.4672, 12.44, 12.4792, 12.4288, 12.4776, 12.4576, 12.4976, 12.4904, 12.5008, 12.5256, 12.48, 12.5328, 12.5008, 12.532, 12.4616, 12.4992, 12.4608, 12.4904]",[0.08136555508929354]
3,"[12.1824, 12.2008, 12.1576, 12.1584, 12.1736, 12.1512, 12.144, 12.1216, 12.1864, 12.1688, 12.1872, 12.1744, 12.2296, 12.156, 12.1888, 12.1128, 12.1304, 12.1576, 12.1624, 12.1232, 12.156, 12.1616, 12.1552, 12.1592, 12.1752, 12.1632, 12.1744, 12.2152, 12.14, 12.1432, 12.1544, 12.1616, 12.1744, 12.1336, 12.092, 12.1664, 12.132, 12.1656, 12.1512, 12.1392, 12.1632, 12.1928, 12.1648, 12.1768, 12.176, 12.2, 12.1672, 12.1904, 12.1464, 12.1576]",[0.14298570761521]
4,"[11.8392, 11.7952, 11.8568, 11.8016, 11.8504, 11.8336, 11.8176, 11.832, 11.8672, 11.84, 11.8264, 11.7984, 11.8176, 11.8448, 11.7784, 11.8608, 11.8496, 11.8344, 11.8224, 11.8416, 11.8096, 11.8352, 11.884, 11.7936, 11.8296, 11.7696, 11.8336, 11.82, 11.8456, 11.7888, 11.8536, 11.8088, 11.8296, 11.836, 11.832, 11.7784, 11.812, 11.8336, 11.8328, 11.8416, 11.804, 11.8304, 11.8736, 11.8832, 11.8104, 11.808, 11.7536, 11.8376, 11.8408, 11.848]",[0.19354043830152926]
5,"[11.5208, 11.5592, 11.52, 11.5264, 11.4752, 11.5632, 11.512, 11.5648, 11.5688, 11.5608, 11.6048, 11.5008, 11.4744, 11.5376, 11.6072, 11.512, 11.5816, 11.5336, 11.5808, 11.5536, 11.5312, 11.5344, 11.4768, 11.5448, 11.5344, 11.5544, 11.516, 11.5352, 11.5368, 11.5144, 11.472, 11.5384, 11.5512, 11.5272, 11.5768, 11.5384, 11.548, 11.4736, 11.5312, 11.5192, 11.4992, 11.4952, 11.5432, 11.5664, 11.4928, 11.5448, 11.5432, 11.5616, 11.5192, 11.5744]",[0.23418624373089658]
10,"[10.4416, 10.444, 10.3984, 10.4616, 10.4264, 10.3736, 10.4136, 10.4376, 10.4312, 10.4552, 10.4168, 10.4416, 10.4488, 10.4136, 10.416, 10.4184, 10.424, 10.44, 10.3968, 10.4432, 10.4432, 10.4128, 10.4232, 10.4208, 10.4752, 10.4032, 10.3848, 10.3672, 10.384, 10.4256, 10.408, 10.3712, 10.432, 10.44, 10.4832, 10.4024, 10.3984, 10.3704, 10.4408, 10.4272, 10.4512, 10.4144, 10.436, 10.4408, 10.4328, 10.4512, 10.4528, 10.4312, 10.4192, 10.4432]",[0.3815314869563341]
2,[12.49592],[0.08074847388419126]
3,[12.1392],[0.14455903337223858]
4,[11.83712],[0.19426579768931967]
5,[11.53208],[0.238235616710775]
5,[12.15544],[0.1349829006761253]
4,[12.22352],[0.1218685557086909]
